season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,count
spring,0,1,0,False,6,False,clear,9.84,14.395,0.81,0.0,16
spring,0,1,1,False,6,False,clear,9.02,13.635,0.8,0.0,40
spring,0,1,2,False,6,False,clear,9.02,13.635,0.8,0.0,32
spring,0,1,3,False,6,False,clear,9.84,14.395,0.75,0.0,13
spring,0,1,4,False,6,False,clear,9.84,14.395,0.75,0.0,1
spring,0,1,5,False,6,False,misty,9.84,12.88,0.75,6.0032,1
spring,0,1,6,False,6,False,clear,9.02,13.635,0.8,0.0,2
spring,0,1,7,False,6,False,clear,8.200000000000001,12.88,0.86,0.0,3
spring,0,1,8,False,6,False,clear,9.84,14.395,0.75,0.0,8
spring,0,1,9,False,6,False,clear,13.12,17.424999999999997,0.76,0.0,14
spring,0,1,10,False,6,False,clear,15.58,19.695,0.76,16.997899999999998,36
spring,0,1,11,False,6,False,clear,14.76,16.665,0.81,19.0012,56
spring,0,1,12,False,6,False,clear,17.22,21.21,0.77,19.0012,84
spring,0,1,13,False,6,False,misty,18.86,22.725,0.72,19.9995,94
spring,0,1,14,False,6,False,misty,18.86,22.725,0.72,19.0012,106
spring,0,1,15,False,6,False,misty,18.04,21.97,0.77,19.9995,110
spring,0,1,16,False,6,False,misty,17.22,21.21,0.82,19.9995,93
spring,0,1,17,False,6,False,misty,18.04,21.97,0.82,19.0012,67
spring,0,1,18,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,35
spring,0,1,19,False,6,False,rain,17.22,21.21,0.88,16.997899999999998,37
spring,0,1,20,False,6,False,misty,16.400000000000002,20.455,0.87,16.997899999999998,36
spring,0,1,21,False,6,False,misty,16.400000000000002,20.455,0.87,12.998,34
spring,0,1,22,False,6,False,misty,16.400000000000002,20.455,0.94,15.0013,28
spring,0,1,23,False,6,False,misty,18.86,22.725,0.88,19.9995,39
spring,0,1,0,False,0,False,misty,18.86,22.725,0.88,19.9995,17
spring,0,1,1,False,0,False,misty,18.04,21.97,0.94,16.997899999999998,17
spring,0,1,2,False,0,False,misty,17.22,21.21,1.0,19.0012,9
spring,0,1,3,False,0,False,misty,18.86,22.725,0.94,12.998,6
spring,0,1,4,False,0,False,misty,18.86,22.725,0.94,12.998,3
spring,0,1,6,False,0,False,rain,17.22,21.21,0.77,19.9995,2
spring,0,1,7,False,0,False,misty,16.400000000000002,20.455,0.76,12.998,1
spring,0,1,8,False,0,False,rain,16.400000000000002,20.455,0.71,15.0013,8
spring,0,1,9,False,0,False,misty,15.58,19.695,0.76,15.0013,20
spring,0,1,10,False,0,False,misty,14.76,17.424999999999997,0.81,15.0013,53
spring,0,1,11,False,0,False,misty,14.76,16.665,0.71,16.997899999999998,70
spring,0,1,12,False,0,False,misty,14.76,16.665,0.66,19.9995,93
spring,0,1,13,False,0,False,misty,14.76,17.424999999999997,0.66,8.9981,75
spring,0,1,14,False,0,False,rain,14.76,17.424999999999997,0.76,12.998,59
spring,0,1,15,False,0,False,rain,13.94,16.665,0.81,11.0014,74
spring,0,1,16,False,0,False,rain,13.94,16.665,0.71,11.0014,76
spring,0,1,17,False,0,False,clear,13.94,16.665,0.57,12.998,65
spring,0,1,18,False,0,False,misty,14.76,16.665,0.46,22.0028,53
spring,0,1,19,False,0,False,clear,13.12,14.395,0.42,30.002599999999997,30
spring,0,1,20,False,0,False,clear,12.3,13.635,0.39,23.9994,22
spring,0,1,21,False,0,False,clear,10.66,11.365,0.44,22.0028,31
spring,0,1,22,False,0,False,clear,9.84,10.605,0.44,19.9995,9
spring,0,1,23,False,0,False,clear,9.02,11.365,0.47,11.0014,8
spring,0,1,0,False,1,True,clear,9.02,9.85,0.44,23.9994,5
spring,0,1,1,False,1,True,clear,8.200000000000001,8.334999999999999,0.44,27.9993,2
spring,0,1,4,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,1
spring,0,1,5,False,1,True,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,3
spring,0,1,6,False,1,True,clear,5.74,5.305,0.5,26.0027,30
spring,0,1,7,False,1,True,clear,5.74,6.819999999999999,0.5,12.998,64
spring,0,1,8,False,1,True,clear,5.74,6.0600000000000005,0.5,19.0012,154
spring,0,1,9,False,1,True,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,88
spring,0,1,10,False,1,True,clear,7.38,8.334999999999999,0.43,16.997899999999998,44
spring,0,1,11,False,1,True,clear,8.200000000000001,9.09,0.4,22.0028,51
spring,0,1,12,False,1,True,clear,9.02,10.605,0.35,19.9995,61
spring,0,1,13,False,1,True,clear,9.84,10.605,0.35,19.0012,61
spring,0,1,14,False,1,True,clear,10.66,12.12,0.3,19.0012,77
spring,0,1,15,False,1,True,clear,10.66,12.12,0.3,16.997899999999998,72
spring,0,1,16,False,1,True,clear,10.66,12.12,0.3,16.997899999999998,76
spring,0,1,17,False,1,True,clear,9.84,11.365,0.3,15.0013,157
spring,0,1,18,False,1,True,clear,9.84,12.88,0.32,7.0015,157
spring,0,1,19,False,1,True,clear,8.200000000000001,12.88,0.47,0.0,110
spring,0,1,20,False,1,True,clear,8.200000000000001,11.365,0.47,7.0015,52
spring,0,1,21,False,1,True,clear,7.38,9.85,0.64,8.9981,52
spring,0,1,22,False,1,True,clear,5.74,7.575,0.69,8.9981,20
spring,0,1,23,False,1,True,clear,7.38,10.605,0.55,7.0015,12
spring,0,1,0,False,2,True,clear,6.5600000000000005,9.09,0.55,7.0015,5
spring,0,1,1,False,2,True,clear,6.5600000000000005,9.09,0.59,7.0015,2
spring,0,1,2,False,2,True,clear,5.74,7.575,0.63,8.9981,1
spring,0,1,4,False,2,True,clear,5.74,9.09,0.63,6.0032,2
spring,0,1,5,False,2,True,clear,4.92,7.575,0.68,7.0015,4
spring,0,1,6,False,2,True,clear,4.92,7.575,0.74,7.0015,36
spring,0,1,7,False,2,True,clear,4.92,7.575,0.74,8.9981,94
spring,0,1,8,False,2,True,clear,5.74,7.575,0.69,11.0014,179
spring,0,1,9,False,2,True,clear,6.5600000000000005,7.575,0.64,15.0013,100
spring,0,1,10,False,2,True,misty,6.5600000000000005,6.819999999999999,0.69,22.0028,42
spring,0,1,11,False,2,True,clear,9.02,10.605,0.51,19.9995,57
spring,0,1,12,False,2,True,clear,9.02,11.365,0.51,11.0014,78
spring,0,1,13,False,2,True,clear,9.84,11.365,0.56,12.998,97
spring,0,1,14,False,2,True,clear,10.66,12.88,0.52,15.0013,63
spring,0,1,15,False,2,True,clear,11.48,13.635,0.52,16.997899999999998,65
spring,0,1,16,False,2,True,clear,12.3,14.395,0.49,16.997899999999998,83
spring,0,1,17,False,2,True,clear,11.48,13.635,0.48,15.0013,212
spring,0,1,18,False,2,True,clear,10.66,12.88,0.48,12.998,182
spring,0,1,19,False,2,True,clear,9.84,12.88,0.48,7.0015,112
spring,0,1,20,False,2,True,clear,9.84,12.88,0.48,7.0015,54
spring,0,1,21,False,2,True,clear,9.02,13.635,0.64,0.0,48
spring,0,1,22,False,2,True,clear,9.02,12.88,0.64,6.0032,35
spring,0,1,23,False,2,True,clear,8.200000000000001,11.365,0.69,6.0032,11
spring,0,1,0,False,3,True,clear,8.200000000000001,12.88,0.64,0.0,6
spring,0,1,1,False,3,True,clear,6.5600000000000005,9.85,0.74,6.0032,6
spring,0,1,2,False,3,True,clear,6.5600000000000005,9.85,0.74,6.0032,2
spring,0,1,4,False,3,True,clear,9.84,11.365,0.48,15.0013,2
spring,0,1,5,False,3,True,clear,9.02,11.365,0.47,11.0014,3
spring,0,1,6,False,3,True,clear,8.200000000000001,9.85,0.47,15.0013,33
